/* DATA DESCRIPTION:
Citation:	Erhardt, Tobias; Capron, Emilie; Rasmussen, Sune Olander; Schüpbach, Simon; Bigler, Matthias; Adolphi, Florian; Fischer, Hubertus (2018): NGRIP high resolution calcium, sodium concentrations and layer thickness (over warming events, 10-60ka). PANGAEA, https://doi.org/10.1594/PANGAEA.896740, 
	In supplement to: Erhardt, T et al. (2019): Decadal-scale progression of the onset of Dansgaard–Oeschger warming events. Climate of the Past, 15(2), 811-825, https://doi.org/10.5194/cp-15-811-2019
Related to:	Gkinis, Vasileios; Simonsen, Sebastian B; Buchardt, Susanne L; White, James W C; Vinther, Bo Møllesøe (2014): Water isotope diffusion rates from the NorthGRIP ice core for the last 16,000 years – Glaciological and paleoclimatic implications. Earth and Planetary Science Letters, 405, 132-141, https://doi.org/10.1016/j.epsl.2014.08.022
	North Greenland Ice Core Project Members; Andersen, Katrine K; Azuma, Nobuhiko; Barnola, Jean-Marc; Bigler, Matthias; Biscaye, Pierre Eginton; Caillon, Nicolas; Chappellaz, Jérôme A; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Fischer, H; Flückiger, Jacqueline; Fritzsche, Diedrich; Fujii, Yushiyuki; Goto-Azuma, Kumiko; Grönvold, Karl; Gundestrup, Niels S; Hansson, Margareta E; Huber, C; Hvidberg, Christine Schøtt; Johnsen, Sigfús Jóhann; Jonsell, Ulf; Jouzel, Jean; Kipfstuhl, Sepp; Landais, Amaelle; Leuenberger, Markus Christian; Lorrain, Reginald D; Masson-Delmotte, Valerie; Miller, H; Motoyama, Hideaki; Narita, H; Popp, Trevor; Rasmussen, Sune Olander; Raynaud, Dominique; Röthlisberger, Regine; Ruth, Urs; Samyn, D; Schwander, Jakob; Shoji, Hitoshi; Siggaard-Andersen, Marie-Louise; Steffensen, J P; Stocker, T; Sveinbjörnsdottir, Árný E; Svensson, Anders M; Takata, Morimasa; Tison, Jean-Louis; Thorsteinsson, Thorsteinn; Watanabe, Okitsugu; Wilhelms, Frank; White, James W C (2004): High-resolution record of Northern Hemisphere climate extending into the last interglacial period. Nature, 431(7005), 147-151, https://doi.org/10.1038/nature02805
	Svensson, Anders M; Andersen, Katrine K; Bigler, Matthias; Clausen, Henrik Brink; Dahl-Jensen, Dorthe; Davies, Siwan M; Johnsen, Sigfús Jóhann; Muscheler, Raimund; Parrenin, Frédéric; Rasmussen, Sune Olander; Röthlisberger, Regine; Seierstad, Inger K; Steffensen, Jørgen Peder; Vinther, Bo Møllesøe (2008): A 60 000 year Greenland stratigraphic ice core chronology. Climate of the Past, 4(1), 47-57, https://doi.org/10.5194/cp-4-47-2008
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM ELEVATION: 2917.0 m * MAXIMUM ELEVATION: 2917.0 m
Event(s):	NGRIP (NorthGRIP) * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2917.0 m * LOCATION: Greenland * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	AGE [ka BP] (Age) * GEOCODE * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * COMMENT: Age of the middle of the sampling interval in years BP (before 1950) on the GICC05 age scale for NGRIP
	Ageprofile Datum Description (Ageprof dat des) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de)
	Sodium [ng/g] (Na+) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * METHOD/DEVICE: Continuous Flow Analysis (CFA)
	Calcium [ng/g] (Ca2+) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * METHOD/DEVICE: Continuous Flow Analysis (CFA)
	Layer thickness [m] (Thickness) * PI: Erhardt, Tobias (https://orcid.org/0000-0002-6683-6746, tobias.erhardt@awi.de) * METHOD/DEVICE: Calculated * COMMENT: Calculated from the age model
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	19498 data points
*/
Age [ka BP]	Ageprof dat des	Na+ [ng/g]	Ca2+ [ng/g]	Thickness [m]
23.1090	GI-2.1	50.0737	241.8481	0.0245
23.1110	GI-2.1	94.0127	288.0534	0.0205
23.1130	GI-2.1	55.5802	361.1558	0.0190
23.1150	GI-2.1	34.5944	227.4790	0.0185
23.1170	GI-2.1	84.6028	364.2593	0.0230
23.1190	GI-2.1	79.8931	329.0183	0.0210
23.1210	GI-2.1	85.7583	343.2488	0.0225
23.1230	GI-2.1	122.5976	358.1468	0.0170
23.1250	GI-2.1	92.0003	290.8512	0.0175
23.1270	GI-2.1	55.3831	276.8476	0.0175
23.1290	GI-2.1	45.7523	235.2630	0.0160
23.1310	GI-2.1	61.5315	198.7764	0.0185
23.1330	GI-2.1	46.7646	177.6706	0.0165
23.1350	GI-2.1	63.6341	264.2523	0.0210
23.1370	GI-2.1	110.2848	287.5160	0.0160
23.1390	GI-2.1	78.5160	270.6804	0.0180
23.1410	GI-2.1	99.5034	450.3096	0.0135
23.1430	GI-2.1	79.4168	306.4905	0.0140
23.1450	GI-2.1	46.2108	183.6918	0.0190
23.1470	GI-2.1	39.3232	205.9992	0.0130
23.1490	GI-2.1	28.6798	160.4306	0.0130
23.1510	GI-2.1	47.0654	201.6341	0.0145
23.1530	GI-2.1	60.3000	200.9827	0.0190
23.1550	GI-2.1	69.2385	216.7462	0.0110
23.1570	GI-2.1	81.6872	297.4090	0.0155
23.1590	GI-2.1	44.1947	180.7189	0.0250
23.1610	GI-2.1	53.5511	176.9548	0.0215
23.1630	GI-2.1	62.3575	143.6842	0.0170
23.1650	GI-2.1	63.5794	164.6033	0.0215
23.1670	GI-2.1	43.0899	165.2118	0.0125
23.1690	GI-2.1	82.1073	241.7886	0.0135
23.1710	GI-2.1	51.2686	143.3365	0.0200
23.1730	GI-2.1	52.3784	196.0556	0.0235
23.1750	GI-2.1	60.2966	143.4238	0.0215
23.1770	GI-2.1	63.8047	192.3167	0.0155
23.1790	GI-2.1	74.0764	154.9894	0.0190
23.1810	GI-2.1	52.5677	151.5781	0.0195
23.1830	GI-2.1	95.4111	126.4938	0.0215
23.1850	GI-2.1	47.0321	96.0594	0.0260
23.1870	GI-2.1	63.8876	107.1371	0.0200
23.1890	GI-2.1	63.9385	120.4849	0.0240
23.1910	GI-2.1	48.2949	107.8240	0.0320
23.1930	GI-2.1	53.5522	136.1726	0.0160
23.1950	GI-2.1	70.8551	139.0321	0.0260
23.1970	GI-2.1	45.9858	135.4561	0.0315
23.1990	GI-2.1	31.1106	113.6020	0.0245
23.2010	GI-2.1	63.0263	185.4077	0.0165
23.2030	GI-2.1	59.9334	125.2185	0.0255
23.2050	GI-2.1	62.7913	137.9331	0.0280
23.2070	GI-2.1	44.3635	76.2206	0.0245
23.2090	GI-2.1	41.0122	57.3263	0.0170
23.2110	GI-2.1	45.1840	101.2115	0.0295
23.2130	GI-2.1	74.6779	125.4275	0.0205
23.2150	GI-2.1	45.2826	91.3961	0.0190
23.2170	GI-2.1	35.7926	85.9712	0.0345
23.2190	GI-2.1	48.6281	88.1066	0.0195
23.3150	GI-2.2	35.1678	114.1743	0.0210
23.3170	GI-2.2	74.2311	249.9775	0.0190
23.3190	GI-2.2	29.2918	155.6262	0.0220
23.3210	GI-2.2	39.2571	120.3937	0.0140
23.3230	GI-2.2	59.5694	226.9693	0.0205
23.3250	GI-2.2	119.4409	410.7859	0.0150
23.3270	GI-2.2	32.2728	236.1642	0.0240
23.3290	GI-2.2	42.0143	362.1203	0.0210
23.3310	GI-2.2	35.6947	298.8020	0.0270
23.3330	GI-2.2	77.3957	269.2660	0.0270
23.3350	GI-2.2	47.4560	325.4587	0.0200
23.3370	GI-2.2	44.1640	300.6644	0.0265
23.3390	GI-2.2	39.3787	273.7137	0.0165
23.3410	GI-2.2	58.7577	446.5229	0.0215
23.3430	GI-2.2	39.0850	408.4171	0.0165
23.3450	GI-2.2	44.7551	390.1935	0.0160
23.3470	GI-2.2	42.1841	351.0862	0.0180
23.3490	GI-2.2	63.4960	499.3130	0.0175
23.3510	GI-2.2	123.8094	680.2588	0.0205
23.3530	GI-2.2	63.4959	391.3412	0.0225
23.3550	GI-2.2	65.8266	479.0116	0.0145
23.3570	GI-2.2		395.8086	0.0205
23.3590	GI-2.2		410.6495	0.0180
23.3610	GI-2.2		349.2303	0.0200
23.3630	GI-2.2		285.6639	0.0180
23.3650	GI-2.2		330.3719	0.0180
23.3670	GI-2.2		378.8201	0.0225
23.3690	GI-2.2		294.1501	0.0175
23.3710	GI-2.2		451.7454	0.0170
23.3730	GI-2.2		383.7959	0.0195
23.3750	GI-2.2		211.7861	0.0160
23.3770	GI-2.2		613.2975	0.0185
23.3790	GI-2.2		490.3454	0.0220
23.3810	GI-2.2		578.1284	0.0150
23.3830	GI-2.2		513.0145	0.0190
23.3850	GI-2.2		548.1518	0.0230
23.3870	GI-2.2		491.4746	0.0210
23.3890	GI-2.2		322.9829	0.0250
23.3910	GI-2.2		601.9865	0.0175
23.3930	GI-2.2		472.7832	0.0140
23.3950	GI-2.2		532.7523	0.0205
23.3970	GI-2.2		582.3797	0.0190
23.3990	GI-2.2		563.5155	0.0145
23.4010	GI-2.2		385.1168	0.0185
23.4030	GI-2.2		371.4303	0.0170
23.4050	GI-2.2		409.4917	0.0215
23.4070	GI-2.2		308.4680	0.0225
23.4090	GI-2.2		386.2243	0.0180
23.4110	GI-2.2		514.2554	0.0175
23.4130	GI-2.2		515.0805	0.0215
23.4150	GI-2.2		342.7272	0.0130
23.4170	GI-2.2		795.1628	0.0110
23.4190	GI-2.2		739.9569	0.0215
23.4210	GI-2.2		503.3924	0.0220
23.4230	GI-2.2		431.7956	0.0180
23.4250	GI-2.2	63.7141	596.1295	0.0120
23.4270	GI-2.2	54.7207	633.4059	0.0150
23.4290	GI-2.2	57.3958	516.5682	0.0180
23.4310	GI-2.2	80.7264	475.6136	0.0215
23.4330	GI-2.2	99.4972	424.0194	0.0165
23.4350	GI-2.2	62.1365	391.1781	0.0245
23.4370	GI-2.2	89.4510	673.7382	0.0170
23.4390	GI-2.2	162.0994	854.9909	0.0170
23.4410	GI-2.2	139.4453	1097.6615	0.0140
23.4430	GI-2.2	94.9044	837.5738	0.0175
23.4450	GI-2.2	110.3768	1013.2356	0.0200
23.4470	GI-2.2	89.9416	640.2913	0.0245
23.4490	GI-2.2	144.3261	912.2686	0.0145
23.4510	GI-2.2	83.9421	767.6855	0.0155
23.4530	GI-2.2	103.6235	787.6439	0.0150
23.4550	GI-2.2	98.2474	675.0014	0.0210
23.4570	GI-2.2	77.5128	386.5993	0.0230
23.4590	GI-2.2	56.5981	323.8913	0.0230
23.4610	GI-2.2	125.8076	473.3630	0.0175
23.4630	GI-2.2	89.0829	484.8839	0.0205
23.4650	GI-2.2	103.0440	519.1039	0.0165
23.4670	GI-2.2	69.3033	430.8614	0.0170
23.4690	GI-2.2	94.3253	810.3848	0.0150
23.4710	GI-2.2	118.6335	779.5923	0.0240
23.4730	GI-2.2	78.6909	596.4616	0.0185
23.4750	GI-2.2	84.2345	491.9605	0.0165
23.4770	GI-2.2	127.4499	803.7154	0.0145
23.4790	GI-2.2	95.4888	657.2041	0.0145
23.4810	GI-2.2	165.1897	996.9055	0.0180
23.4830	GI-2.2	88.6383	660.1218	0.0175
23.4850	GI-2.2	85.0910	524.0720	0.0150
23.4870	GI-2.2	172.5160	648.7393	0.0130
23.4890	GI-2.2	92.9015	527.2096	0.0225
23.4910	GI-2.2	115.6794	749.0556	0.0175
23.4930	GI-2.2	101.8847	529.5618	0.0170
23.4950	GI-2.2	90.2965	450.3860	0.0140
23.4970	GI-2.2	69.2249	405.3059	0.0155
23.4990	GI-2.2	62.9132	329.6987	0.0125
23.5010	GI-2.2	109.8308	590.4571	0.0135
23.5030	GI-2.2	107.2987	518.8563	0.0125
23.5050	GI-2.2	151.8420	860.2903	0.0105
23.5070	GI-2.2	105.8119	771.8956	0.0165
23.5090	GI-2.2	103.2661	644.0693	0.0160
23.5110	GI-2.2	79.3761	493.2142	0.0145
23.5130	GI-2.2	84.2842	470.0033	0.0180
23.5150	GI-2.2	62.6435	489.0159	0.0175
23.5170	GI-2.2	157.3604	853.4061	0.0145
23.5190	GI-2.2	107.4843	606.3915	0.0155
23.5210	GI-2.2	92.2038	740.6537	0.0160
23.5230	GI-2.2	138.4063	885.7847	0.0175
23.5250	GI-2.2	176.2876	800.4586	0.0130
23.5270	GI-2.2	111.7011	781.4612	0.0180
23.5290	GI-2.2	105.0829	920.7737	0.0110
23.5310	GI-2.2	49.0499	576.5996	0.0200
23.5330	GI-2.2	46.3389	447.4474	0.0130
23.5350	GI-2.2	138.3216	642.7525	0.0155
23.5370	GI-2.2	55.5531	472.6588	0.0215
23.5390	GI-2.2	73.2188	614.1610	0.0195
27.5810	GI-3	46.0552	55.4884	0.0235
27.5830	GI-3	41.3268	45.1950	0.0330
27.5850	GI-3	41.3605	64.4267	0.0235
27.5870	GI-3	45.4512	62.8414	0.0425
27.5890	GI-3	54.3248	51.3061	0.0310
27.5910	GI-3	44.5564	41.7788	0.0370
27.5930	GI-3	45.3388	49.1325	0.0330
27.5950	GI-3	52.5701	54.4733	0.0390
27.5970	GI-3	46.1222	62.7398	0.0315
27.5990	GI-3	64.9100	77.4765	0.0385
27.6010	GI-3	55.7579	61.9583	0.0220
27.6030	GI-3	42.7069	63.9705	0.0285
27.6050	GI-3	32.9316	54.7440	0.0230
27.6070	GI-3	43.0605	51.8962	0.0345
27.6090	GI-3	52.8506	54.1438	0.0435
27.6110	GI-3	46.2129	53.8126	0.0230
27.6130	GI-3	46.3524	62.8328	0.0270
27.6150	GI-3	78.8325	59.5806	0.0295
27.6170	GI-3	50.3638	69.2511	0.0335
27.6190	GI-3	50.9269	100.5001	0.0290
27.6210	GI-3	35.7578	54.6006	0.0190
27.6230	GI-3	62.8959	67.9355	0.0300
27.6250	GI-3	68.4416	63.9824	0.0350
27.6270	GI-3	84.0786	62.5161	0.0235
27.6290	GI-3	33.8953	43.3244	0.0245
27.6310	GI-3	44.2144	55.2602	0.0320
27.6330	GI-3	38.3681	63.2802	0.0315
27.6350	GI-3	53.3148	66.1757	0.0300
27.6370	GI-3	53.8544	60.3597	0.0350
27.6390	GI-3	59.6729	64.3269	0.0320
27.6410	GI-3	36.8987	36.2363	0.0355
27.6430	GI-3	31.9854	39.3465	0.0310
27.6450	GI-3	43.3989	35.4941	0.0220
27.6470	GI-3	42.3739	40.7361	0.0185
27.6490	GI-3	80.3185	80.6419	0.0295
27.6510	GI-3	80.0309	55.7169	0.0395
27.6530	GI-3	51.0893	40.7316	0.0315
27.6550	GI-3	55.9686	44.2455	0.0325
27.6570	GI-3	62.5530	69.5679	0.0275
27.6590	GI-3	30.1645	41.1191	0.0405
27.6610	GI-3	37.9725	44.5148	0.0285
27.6630	GI-3	39.4340	56.4525	0.0200
27.6650	GI-3	111.2369	97.1756	0.0300
27.6670	GI-3	58.2316	58.2798	0.0390
27.6690	GI-3	35.9597	57.0514	0.0335
27.6710	GI-3	42.0747	47.9666	0.0290
27.6730	GI-3	45.5670	56.8119	0.0340
27.6750	GI-3	71.3606	59.1632	0.0360
27.6770	GI-3	62.7879	44.3294	0.0270
27.6790	GI-3	71.5190	65.4570	0.0310
27.6810	GI-3	42.9684	73.5737	0.0285
27.6830	GI-3	43.0786	70.3784	0.0455
27.6850	GI-3	40.4879	52.9982	0.0365
27.6870	GI-3	36.0475	55.9619	0.0385
27.6890	GI-3	45.0474	62.9820	0.0395
27.6910	GI-3	44.1123	60.2360	0.0395
27.6930	GI-3	45.1795	67.3316	0.0440
27.6950	GI-3	45.2264	51.6608	0.0255
27.6970	GI-3	62.4322	50.8824	0.0270
27.6990	GI-3	301.8364	71.3099	0.0440
27.7010	GI-3	67.1596	76.3654	0.0315
27.7030	GI-3	30.4218	36.9647	0.0485
27.7050	GI-3	50.9449	50.0914	0.0355
27.7070	GI-3	50.2769	43.3961	0.0400
27.7090	GI-3	37.2723	51.3351	0.0200
27.7110	GI-3	51.0588	45.5656	0.0405
27.7130	GI-3	59.1338	91.9847	0.0340
27.7150	GI-3	30.5741	54.0426	0.0440
27.7170	GI-3	84.2806	61.0203	0.0315
27.7190	GI-3	49.2422	60.9415	0.0285
27.7210	GI-3	59.9786	75.4655	0.0410
27.7230	GI-3	91.5061	122.1495	0.0305
27.7250	GI-3	57.1186	72.0641	0.0320
27.7270	GI-3	79.5913	77.6863	0.0345
27.7290	GI-3	86.6271	98.4159	0.0300
27.7310	GI-3	79.8582	109.6519	0.0415
27.7330	GI-3	85.7420	182.2591	0.0250
27.7350	GI-3	124.8332	206.5225	0.0255
27.7370	GI-3	73.5074	182.8717	0.0210
27.7390	GI-3	79.7526	214.5120	0.0250
27.7410	GI-3	98.0125	175.8453	0.0180
27.7430	GI-3	86.1449	311.0940	0.0225
27.7450	GI-3	121.4288	395.7409	0.0205
27.7470	GI-3	145.1947	459.6666	0.0225
27.7490	GI-3	108.3977	322.8202	0.0155
27.7510	GI-3	182.9679	422.5641	0.0120
27.7530	GI-3	107.3885	353.3386	0.0175
27.7550	GI-3	123.5715	445.5433	0.0100
27.7570	GI-3	106.2439	315.7886	0.0140
27.7590	GI-3	170.7300	367.7406	0.0185
27.7610	GI-3	97.5115	285.4096	0.0200
27.7630	GI-3	171.6405	590.7108	0.0110
27.7650	GI-3	120.9502	335.3190	0.0225
27.7670	GI-3	126.6274	246.2977	0.0140
27.7690	GI-3	129.2533	278.4431	0.0120
27.7710	GI-3	139.5093	363.4543	0.0110
27.7730	GI-3	92.4777	228.7668	0.0200
27.7750	GI-3	135.5693	267.3633	0.0165
27.7770	GI-3	128.7010	254.5708	0.0130
27.7790	GI-3	150.6475	403.8366	0.0135
27.7810	GI-3	136.8649	351.9993	0.0200
27.7830	GI-3	116.9493	363.9210	0.0105
27.7850	GI-3	150.6236	371.2554	0.0095
27.7870	GI-3	142.5762	344.5892	0.0150
27.7890	GI-3	156.6686	269.8344	0.0175
27.7910	GI-3	135.5538	272.7610	0.0155
27.7930	GI-3	138.2302	319.5649	0.0105
27.7950	GI-3	119.9349	240.7154	0.0205
27.7970	GI-3	125.9851	271.8067	0.0215
27.7990	GI-3	101.5911	361.0947	0.0100
27.8010	GI-3	128.4832	269.6164	0.0160
27.8030	GI-3	173.4176	316.6258	0.0205
27.8050	GI-3	163.8701	313.3312	0.0230
27.8070	GI-3	162.2413	256.1448	0.0225
27.8090	GI-3	128.6414	330.4353	0.0135
27.8110	GI-3	156.9958	447.8634	0.0130
27.8130	GI-3	167.9691	433.1312	0.0165
27.8150	GI-3	121.5999	322.1451	0.0130
27.8170	GI-3	96.5335	204.0673	0.0200
27.8190	GI-3	130.6966	328.9615	0.0130
27.8210	GI-3	115.3067	243.2215	0.0205
27.8230	GI-3	125.2946	320.4649	0.0160
27.8250	GI-3	93.5705	201.1332	0.0170
27.8270	GI-3	97.4959	198.7418	0.0115
27.8290	GI-3	107.6023	222.9362	0.0130
27.8310	GI-3	141.2783	300.7945	0.0175
27.8330	GI-3	130.3784	361.7736	0.0135
27.8350	GI-3	131.8769	388.8128	0.0165
27.8370	GI-3	115.1069	402.0308	0.0225
27.8390	GI-3	73.3087	261.6297	0.0185
27.8410	GI-3	56.6277	277.3919	0.0190
27.8430	GI-3		247.5118	0.0165
27.8450	GI-3	85.7607	354.3326	0.0100
27.8470	GI-3	140.4690	381.0638	0.0145
27.8490	GI-3	107.9388	382.7490	0.0145
27.8510	GI-3	117.7448	308.5396	0.0190
27.8530	GI-3	145.2096	393.2581	0.0135
27.8550	GI-3	180.4681	464.8277	0.0160
27.8570	GI-3	112.7126	311.3920	0.0215
27.8590	GI-3	99.0469	288.6378	0.0200
27.8610	GI-3	74.2290	239.8509	0.0170
27.8630	GI-3	147.9860	386.5018	0.0115
27.8650	GI-3	96.8426	331.6534	0.0125
27.8670	GI-3	201.3763	425.2991	0.0145
27.8690	GI-3	68.5554	285.3026	0.0135
27.8710	GI-3	109.4078	396.2481	0.0190
27.8730	GI-3	90.7526	430.9675	0.0125
27.8750	GI-3	64.8237	262.4351	0.0165
27.8770	GI-3	40.7689	226.7827	0.0220
27.8790	GI-3	92.2060	320.0442	0.0250
27.8810	GI-3	55.2576	259.7724	0.0095
27.8830	GI-3	107.2530	345.3188	0.0145
27.8850	GI-3	129.5186	502.9337	0.0130
27.8870	GI-3	121.7150	380.9795	0.0185
27.8890	GI-3	103.2733	354.5155	0.0145
27.8910	GI-3	111.9534	273.2143	0.0135
27.8930	GI-3	48.8208	214.1159	0.0090
27.8950	GI-3	90.0846	497.7288	0.0135
27.8970	GI-3	141.1203	608.9268	0.0120
27.8990	GI-3	62.5167	342.3439	0.0170
27.9010	GI-3	127.7238	426.7637	0.0205
27.9030	GI-3	144.8861	548.7640	0.0120
27.9050	GI-3	102.1276	386.8931	0.0165
27.9070	GI-3	118.5974	425.0012	0.0170
27.9090	GI-3	104.6134	313.6439	0.0200
27.9110	GI-3	92.8604	330.7088	0.0215
27.9130	GI-3	197.7608	388.5130	0.0195
27.9150	GI-3	190.5661	485.1949	0.0155
27.9170	GI-3	155.0994	552.5426	0.0215
27.9190	GI-3	58.7821	267.6802	0.0220
27.9210	GI-3	49.7413	277.3217	0.0140
27.9230	GI-3	59.3951	318.7454	0.0195
27.9250	GI-3	80.8654	345.9901	0.0135
27.9270	GI-3	56.5373	281.5816	0.0200
27.9290	GI-3	130.0785	436.2301	0.0185
27.9310	GI-3	102.4091	353.2180	0.0150
27.9330	GI-3	106.8846	460.8380	0.0130
27.9350	GI-3	86.6102	431.9484	0.0185
27.9370	GI-3	94.9274	260.2688	0.0140
27.9390	GI-3	74.1426	283.5070	0.0180
27.9410	GI-3	88.9946	296.2925	0.0165
27.9430	GI-3	99.7382	298.1820	0.0160
27.9450	GI-3	109.0917	385.2029	0.0170
27.9470	GI-3	104.6274	347.0904	0.0160
27.9490	GI-3	111.3874	336.1784	0.0130
27.9510	GI-3	111.5137	311.9242	0.0245
27.9530	GI-3	107.8263	301.0028	0.0190
27.9550	GI-3	107.4165	278.1381	0.0190
27.9570	GI-3	123.8107	368.4323	0.0165
27.9590	GI-3	164.4587	785.9471	0.0120
27.9610	GI-3	101.9169	460.2565	0.0150
27.9630	GI-3	103.3247	366.0858	0.0135
27.9650	GI-3	122.1705	361.4563	0.0135
27.9670	GI-3	109.7485	399.0919	0.0165
27.9690	GI-3	79.7143	353.2048	0.0175
27.9710	GI-3	85.2460	324.0005	0.0215
27.9730	GI-3	156.1551	533.5113	0.0170
27.9750	GI-3	200.7098	616.7238	0.0125
27.9770	GI-3	92.3796	336.2651	0.0150
27.9790	GI-3	110.9194	338.6587	0.0200
28.6010	GI-4	57.9972	73.6223	0.0235
28.6030	GI-4	73.1258	95.0919	0.0255
28.6050	GI-4	77.9540	91.2337	0.0250
28.6070	GI-4	65.2060	77.9199	0.0310
28.6090	GI-4	163.2666	125.3487	0.0235
28.6110	GI-4	58.0475	55.3154	0.0235
28.6130	GI-4	78.1857	71.9643	0.0245
28.6150	GI-4	43.0661	99.4948	0.0245
28.6170	GI-4	52.8621	63.3045	0.0350
28.6190	GI-4	46.9265	49.5103	0.0340
28.6210	GI-4	48.8711	80.4509	0.0255
28.6230	GI-4	70.5151	110.4848	0.0185
28.6250	GI-4	52.8187	90.1920	0.0270
28.6270	GI-4	46.9369	81.4356	0.0340
28.6290	GI-4	51.4256	78.2873	0.0450
28.6310	GI-4	45.0285	58.0939	0.0300
28.6330	GI-4	54.3251	77.3775	0.0315
28.6350	GI-4	38.5212	49.1606	0.0380
28.6370	GI-4	38.1547	44.0177	0.0320
28.6390	GI-4	61.6187	66.0497	0.0300
28.6410	GI-4	44.3985	54.0345	0.0320
28.6430	GI-4	82.8947	93.6122	0.0250
28.6450	GI-4	58.3154	61.6953	0.0235
28.6470	GI-4	44.2646	55.8114	0.0325
28.6490	GI-4	41.5518	55.8463	0.0405
28.6510	GI-4	49.6969	81.4165	0.0335
28.6530	GI-4	76.5854	66.4189	0.0225
28.6550	GI-4	50.8081	72.1788	0.0260
28.6570	GI-4	44.8264	56.5652	0.0325
28.6590	GI-4	50.7655	73.3104	0.0290
28.6610	GI-4	53.0334	69.7417	0.0350
28.6630	GI-4	69.2198	69.0167	0.0185
28.6650	GI-4	47.7918	59.3679	0.0215
28.6670	GI-4	43.9121	71.3580	0.0200
28.6690	GI-4	43.8172	89.9512	0.0260
28.6710	GI-4	47.7240	60.9623	0.0270
28.6730	GI-4	53.4035	65.0317	0.0370
28.6750	GI-4	75.0672	102.7680	0.0290
28.6770	GI-4	50.2465	65.4965	0.0370
28.6790	GI-4	38.3431	58.3209	0.0380
28.6810	GI-4	84.5907	59.3342	0.0270
28.6830	GI-4	52.5742	62.2407	0.0325
28.6850	GI-4	36.7786	54.8539	0.0310
28.6870	GI-4	26.5635	49.5898	0.0395
28.6890	GI-4	40.7227	37.3271	0.0325
28.6910	GI-4	33.0304	52.6313	0.0235
28.6930	GI-4	40.4288	64.1926	0.0420
28.6950	GI-4	48.4680	65.8954	0.0350
28.6970	GI-4	55.3669	55.4578	0.0285
28.6990	GI-4	18.2186	55.1519	0.0225
28.7010	GI-4	39.2184	47.1954	0.0345
28.7030	GI-4	50.1966	61.4706	0.0325
28.7050	GI-4	53.3986	100.8770	0.0315
28.7070	GI-4	62.5319	81.5828	0.0155
28.7090	GI-4	47.9655	54.9250	0.0305
28.7110	GI-4	67.5535	65.2821	0.0245
28.7130	GI-4	36.3061	46.8977	0.0305
28.7150	GI-4	72.6522	78.6678	0.0265
28.7170	GI-4	46.0127	71.9150	0.0260
28.7190	GI-4	42.3230	62.3982	0.0315
28.7210	GI-4	49.5296	59.6493	0.0305
28.7230	GI-4	42.5381	73.6410	0.0290
28.7250	GI-4	66.9878	91.8402	0.0290
28.7270	GI-4	56.8082	34.1929	0.0400
28.7290	GI-4	49.8706	40.9845	0.0360
28.7310	GI-4	50.9456	54.5950	0.0390
28.7330	GI-4	98.6858	71.6990	0.0275
28.7350	GI-4	46.2588	55.7974	0.0265
28.7370	GI-4	68.8042	78.1450	0.0320
28.7390	GI-4	53.9377	86.2207	0.0260
28.7410	GI-4	46.0997	70.3657	0.0320
28.7430	GI-4	47.3462	61.9795	0.0390
28.7450	GI-4	59.4148	60.6277	0.0515
28.7470	GI-4	57.1544	60.1840	0.0385
28.7490	GI-4	48.0452	49.6901	0.0415
28.7510	GI-4	49.0312	45.4237	0.0370
28.7530	GI-4	54.3620	85.7358	0.0310
28.7550	GI-4	33.0863	95.0849	0.0290
28.7570	GI-4	51.5601	97.0224	0.0375
28.7590	GI-4	67.6868	68.5393	0.0265
28.7610	GI-4	50.1749	68.4485	0.0335
28.7630	GI-4	46.7060	58.2508	0.0330
28.7650	GI-4	41.1686	64.0103	0.0285
28.7670	GI-4	51.1923	52.9190	0.0320
28.7690	GI-4	77.9768	54.9933	0.0290
28.7710	GI-4	41.8572	58.9455	0.0395
28.7730	GI-4	50.2057	52.9420	0.0455
28.7750	GI-4	65.2341	53.3798	0.0410
28.7770	GI-4	42.5590	47.0605	0.0345
28.7790	GI-4	46.7586	52.5065	0.0360
28.7810	GI-4	45.8392	62.5654	0.0405
28.7830	GI-4	77.4523	93.1695	0.0260
28.7850	GI-4	56.2842	73.0687	0.0190
28.7870	GI-4	45.5996	55.6161	0.0270
28.7890	GI-4	51.8208	67.0975	0.0325
28.7910	GI-4	54.7597	68.7420	0.0350
28.7930	GI-4	53.9054	89.9203	0.0330
